#OTU ID	sample_name	abundance
90709	166.0973033707002	12.569674
92349	166.09733749510625	13.065575
44093	166.12250078935313	5.8851323
65919	167.01263105472194	8.648367
67695	167.01262575760524	8.815733
92594	167.01263955393674	13.514
92639	167.0126437497681	14.696604
92558	167.01264610020186	13.124251
183	167.01266793119458	0.55987823
90043	167.09252835381795	12.197195
88891	167.0925391702933	11.904721
91172	167.09253260388462	12.575342
87665	167.09255125814073	11.49226
88437	167.09255441224772	11.67504
87126	167.09257368109658	11.256926
91846	167.09260852288403	12.890299
22396	167.1064588698719	4.1575785
28798	167.1064932521048	4.442534
32099	167.10648552887224	4.862149
77568	167.14282756234337	9.925336
71798	167.14285647966003	9.399995
68882	167.14293014339606	9.008479
92547	167.1541368472499	13.239508
4	167.154202316604	0.4742467
1199	167.9673706560704	0.69820213
92539	167.99833865813838	13.177042
8551	168.0653405608737	2.6761262
2071	168.12293683451466	0.97445655
65	169.04565656882335	0.5502633
16634	169.08569914845754	3.521676
19126	169.08571057410265	3.7453332
23679	169.08571481017748	4.0398116
12141	169.08571744420036	3.0817013
14520	169.08572002801037	3.3153493
36979	169.08572133653738	5.272271
34585	169.085736035226	5.0677686
40909	169.08576095348562	5.6172576
43616	169.0857618574321	5.8465414
49111	169.08577703269958	6.4221673
27414	169.12211974708669	4.470593
59121	169.12215298907668	7.6153884
92439	169.97712330781562	13.099034
73212	169.97712830882148	9.563042
92580	169.9771322762657	13.384843
2571	170.08107282506617	0.98207265
83173	170.11727351126584	10.669795
18488	170.11733934056738	3.7355325
39401	170.11735956439986	5.489116
21736	170.11736660767812	3.983342
2113	170.11754505047836	0.88298583
92395	170.15372951719084	13.086327
12237	171.09879408593824	3.0866265
24459	171.10136656693416	4.178671
21810	171.10138229453005	3.990171
66135	171.13768329285807	8.603139
47828	171.13770262301648	6.2745233
90866	171.1489000926405	12.477583
84697	171.14890680681177	10.850552
39341	171.14898323891387	5.4810305
92578	171.99276264958692	13.390164
5010	172.09659924236604	2.1401448
23067	172.13298044677353	4.0953665
42211	172.1329888204408	5.720719
54577	172.1330242407602	7.047489
60709	172.16932735750078	7.829634
62806	172.16934426542107	8.111509
54674	172.16934055947928	7.0592055
32906	172.16937325403202	4.9279294
68314	172.1694770168485	8.917487
36417	172.77302916265967	5.223053
